user,time,star,comment
Trang Đoan,"9 tháng 1, 2022",3,Fix lại Sh**** ơi mất phần tìm kiếm trong mục lượt thích của cá nhân rồi :((((( cần tìm hàng gì là mò khùng luôn á đề nghị Sh**** xem khôi phục lại ạ cái đó rất tiện ích luôn á
Trang Đoan,"9 tháng 1, 2022",5,"Quá nhiều tin nhắn rác, quản cáo, tin nhắn span. Mình đã phải chặn thông báo từ ứng dụng này. nếu cho không sao được mình cũng cho"
Nguyễn Thảo,"10 tháng 1, 2022",1,thay vì đầu tư quảng cáo thì nên nâng cao chất lượng đơn vị vận chuyển và tránh lừa đảo khách hàng.
Hằng Lý,"9 tháng 1, 2022",3,Vô mạng vào web TimMaGiamGia. Vn để nhận mã giảm giá miễn phí. Ngoài ra còn hỗ trợ kiếm tiền 0 vốn
Sac Anh,"9 tháng 1, 2022",1,"Không hiểu sao đơn của mình gần 100k mà k áp dụng đc mã free ship, lại còn bảo k đủ đk, là sao vậy???? Lúc trc mình mua cái đơn khoảng 30k vẫn có free ship mà dạo này chả có free ship nữa"
Sac Anh,"9 tháng 1, 2022",1,Em vừa chạy ship cho Sh**** vừa đặt đồ ăn của Sh****food hy vọng công ty bắn cho em nhiều đơn mã id : 20522968
đồng phục Xưởng may,"8 tháng 1, 2022",1,"Sh**** express làm ăn rất vớ vẩn, ôm hàng ở lỳ 1 chỗ k vận chuyển đi"
Trang Ngọc,"8 tháng 1, 2022",5,Việc giao hàng trễ hơn so với thời gian giao hàng dự kiến rất nhiều. Hơn thế nữa mặc dù đơn đã được shipper báo đang giao nhưng trong phần theo dõi đơn hàng vẫn chưa cập nhật bên vận chuyển và mã đơn nội địa.
Thanh Nhàn Nguyễn,"8 tháng 1, 2022",3,Mẹ nhà phát triển Làm ăn chán lừa con nít nói đăng ký tài khoảng mới mua hàng được nhận quà liên quân đăng ký xong cái mất tiu cái sự kiện làm ăn kiểu gì vậy lúc chưa đăng nhập vô thì nó vẫn còn
Thanh Nhàn Nguyễn,"8 tháng 1, 2022",5,Vô mạng vào web TimMaGiamGia. Vn để nhận mã giảm giá miễn phí. Ngoài ra còn hỗ trợ kiếm tiền 0 vốn
Ngọc Huyền,"9 tháng 1, 2022",2,"Mọi thứ vẫn ổn cho đến khi thằng con cưng Sh**** express xuất hiện, mọi thứ dường như đảo lộn.ko thể chấp nhận"
Ngọc Huyền,"9 tháng 1, 2022",1,"hơn 10 ngày hàng mới xuất kho , chả biết làm gì , một cuộc gọi báo hay xin lỗi cũng không , làm ăn mất uy tín quá , thời gian là vàng bạc chứ có phải để cho free đâu !"
Thuy Nguyen,"9 tháng 1, 2022",1,Vô mạng vào web TimMaGiamGia. Vn để nhận mã giảm giá miễn phí. Ngoài ra còn hỗ trợ kiếm tiền 0 vốn
Thuy Nguyen,"9 tháng 1, 2022",2,"Sao lại không xem đơn hàng vs hô sơ được vậy, cả mấy hum nay rồi búc xúc thật chờ cả 5 phút tắt đi bật lại điện thoại còn không được mà cập nhập liên tục càng cập nhập càng lỗi là sao ta ..."
Thuận Đặng,"9 tháng 1, 2022",5,Đăng nhập hay đăng kí thì cứ lỗi mạng không vào được mặc dù đã đổi 3 con máy vẫn thế.cút luôn :))
Zic Kullz,"9 tháng 1, 2022",3,1 ngày giao hàng quốc tế thật là nhanh
Dương Đình Nhẫn,"9 tháng 1, 2022",3,Tôi cần ít quảng cáo thoii đang chs game cũng quảng cáo
Dương Đình Nhẫn,"10 tháng 1, 2022",1,App chậm chậm lag lag thao tác không nhạy dùng khó chịu
tran le,"10 tháng 1, 2022",1,Mua hàng khi giao đúng khi giao không đúng kiểm tra hàng thì không cho kiểm tra
tran le,"10 tháng 1, 2022",1,Làm ăn lừa đảo
Hoàng Anh,"10 tháng 1, 2022",5,Giảm tí nữa ạ
Hoàng Anh,"9 tháng 1, 2022",1,Cái gì cũng có
Minh Mai,"9 tháng 1, 2022",1,ứng dụng bị đơ
Minh Mai,"9 tháng 1, 2022",5,Mua sắm nói chung có may có lụi é nói chung là ok
Đức Đặng,"9 tháng 1, 2022",2,"Phù hợp vs túi tiền,rẻ quy tính, chất lượng cao"
Đức Đặng,"8 tháng 1, 2022",1,"App tuyệt vời, có nhiều voucher giảm giá, hàng rẻ, chất lượng"
Anh Vu,"18 tháng 7, 2019",5,Áp dụng mã người mới không đc. Tệ quá tệ🙂
Anh Vu,"8 tháng 1, 2022",1,"Voucher thường xuyên lỗi, cực kỳ khó chịu luôn đặt hàng mà cứ báo voucher lỗi >:""((("
Thu Ngô,"8 tháng 1, 2022",1,"App chất lg lắm nha,săn dc toàn đồ ngon😹"
Thu Ngô,"10 tháng 1, 2022",4,"Mua hàng thoải mái , tốt"
Ten Vo,"9 tháng 1, 2022",4,"App tốt ổn áp,hàng giao hơi chậm ,đôi lúc hơi lag nhẹ xíu"
Anh Ngoc,"9 tháng 1, 2022",5,Tại số pe mà lúc nào tôi cũng hết tiền Bắt đền đấy:))))
Anh Ngoc,"9 tháng 1, 2022",5,Đơn hàng bị hủy k rõ lý do...k đáng để tải app
Sơn Tùng,"9 tháng 1, 2022",4,Sh**** tạo để đặt hàng mà hong đặt hàng ??? Ủa làm gì kì dẫy trời
vandung bap,"9 tháng 1, 2022",4,"Mọi thứ đều tốt , mỗi em là kh có tiền :>"
Hà Ngọc,"9 tháng 1, 2022",5,Có cố gắng Lên thêm 1 sao
Hà Ngọc,"10 tháng 1, 2022",5,Best ex giao hàng thái độ quá
Men Group,"9 tháng 1, 2022",1,Ơ sao cứ bị mã d01 ạ
Kè Non,"9 tháng 1, 2022",2,Giao hàng lâu như bị bại liệt
Kè Non,"8 tháng 1, 2022",5,Shoppee chỉ 2 từ thui tuyệt vời
quyết lường,"29 tháng 12, 2021",5,Hàng hoài ở kho mà không giao
Văn Đức Quách,"1 tháng 1, 2022",5,Áp rất tiện lợi trong mùa dịch
Hoa Dang thi,"1 tháng 1, 2022",5,Sao cứ có lỗi u02 v ạ
Hoa Dang thi,"9 tháng 1, 2022",1,"App lag, ai muốn tập tính kiên nhẫn thì hãy thử nhé :))"
Chuong huu,"9 tháng 1, 2022",1,"Xử lý đơn hàng chưa tốt, giao hàng chậm"
Chuong huu,"31 tháng 12, 2021",5,Nghiện luôn rôi cho 5 sao á hihi
Đạt Bảo,"3 tháng 1, 2022",3,App thường xuyên load không được ! Rất không hài lòng.
Hiền lương Nguyễn,"2 tháng 1, 2022",1,Tải mà không đăng kí được thì tải làm gì?
Hiền lương Nguyễn,"1 tháng 1, 2022",1,Hong hiểu sao tìm đồ tí là nó laggg
Lâm Bảo ĐÀO,"1 tháng 1, 2022",1,Sau khi cập nhất xong app còn lag hơn
Lâm Bảo ĐÀO,"4 tháng 1, 2022",5,Xoá 3 ứng dụng vẫn ko thể tải dc
Minh Nguyen,"6 tháng 1, 2022",1,Sao k có thanh toán khi nhận hàng vậy
Sang Minh,"6 tháng 1, 2022",5,App rất tiẹn lợi tôi mua j cũng có
15 . NGUYỄN GIA KHÁNH,"8 tháng 1, 2022",5,xài thích lắm khó giữ tiền trong túi được
Bảo Ngọc,"3 tháng 1, 2022",1,Sao bấm vào chữ đặt hàng ko đc ạk
Hà Mi Nguyễn,"7 tháng 1, 2022",3,Những đơn thanh toán rồi không nhận đc hàng
hoa phượng đỏ,"30 tháng 12, 2021",5,Rất là hay và có nhiều khu yến mãi
Boss Quy,"6 tháng 1, 2022",1,tôi đã mua được trúng đồng hồ ben 10
Hà Hoàng,"5 tháng 1, 2022",1,Em đặt hàng rằng 1 tháng rồi chưa dao
WINTER WIND,"2 tháng 1, 2022",5,Có hàng nhiều loại theo sở thích của mình
Liên Nguyễn Thị,"6 tháng 1, 2022",3,Giao hàng 10 máy bữa mới có rất tệ
Lâm Nhật Khang,"1 tháng 1, 2022",5,Tốt nhưng hơi lagg xíu nên cho 4 sao
Tâm Tâm,"1 tháng 1, 2022",5,Oke vip pro nhiều hàng mình muốn tuyệt vời
Tâm Tâm,"2 tháng 1, 2022",5,Tệ vô cùng đặt hàng chờ gần 1 tháng
Tâm Nguyễn,"2 tháng 1, 2022",5,Phí vẫn chuyện còn đắt hơn món hàng mua
Tâm Nguyễn,"8 tháng 1, 2022",1,Ước đc nhận voucher 2 chẹo của Sh**** TT
nhinh nguyen tuan,"8 tháng 1, 2022",1,App rất hay bị lỗi và lag kinh khủng
nhinh nguyen tuan,"3 tháng 1, 2022",5,Top 1 tg thích cực sản phẩm uy tín
Thảo Xuân,"15 tháng 10, 2020",5,Hãy cho thêm chế độ tối hoặc ban đêm
