user,time,star,comment
nhật bênh phú thọ,"5 tháng 1, 2022",1,"Dịch vụ trên Sh**** rất nhanh,hài lòng"
Cương Tô,"5 tháng 1, 2022",5,"app lag cực , cần shoppe sớm cải thiện"
Cương Tô,"8 tháng 1, 2022",5,"Giao hàng nhanh, sản phẩm tốt"
Vương Tiêu,"8 tháng 1, 2022",2,"Hàng đẹp, tốt nhưng tiền ship hơi đắt"
Vương Tiêu,"6 tháng 1, 2022",1,"Đa dạng nhiều mặt hàng, giao diện đẹp"
Luna Do,"8 tháng 1, 2022",2,Giao rất nhanh đúng sản phẩm yêu cầu😙
Hải Tú,"30 tháng 12, 2021",1,toi rat thich ung dung nay
Ngọc Bảo,"6 tháng 1, 2022",1,Sốp pi ơi cho em xin vocher 22tr đi em mua pc 🤣🤣🤣
Trang Đỗ thu,"3 tháng 1, 2022",5,"1 sao vì bị khoá Shoppepay, bực mình"
Ngọc Ánh Đặng,"1 tháng 1, 2022",5,Lỗi mạng đăng nhập không được. 1 sao
Ánh Nhung Nguyễn,"1 tháng 1, 2022",5,Ok. Không làm thất vọng những người kỳ vọng
Ánh Nhung Nguyễn,"5 tháng 1, 2022",5,"Mình đã từng rất thích Sh****, mua hàng rất tinh tưởng nhưng dạo gần đây cái uy tính đó đã ngày một làm ngta sợ hãi.Sh**** tổ chức săn sale nhưng khi người ta săn giảm được thì lại hủy đơn, một lần mình đã k lên đánh giá, nhưng nó đã lặp lại lần thứ 2 thứ 3, quá tam ba bận thôi chứ, tổ chức săn sale...Bài đánh giá đầy đủ"
Diep Pham,"31 tháng 12, 2021",4,"Lừa đảo, ăn chặn mã của khách hàng"
Hùng Nguyễn,"1 tháng 1, 2022",5,Giá giao hàng cao so với tiền mà sop đề ra 😅😅😅
duc luat Nguyen,"1 tháng 1, 2022",5,"App dùng khá tốt, bị đơ hơi nhiều"
duc luat Nguyen,"6 tháng 1, 2022",5,Hàng mua về lỗi không trả được !
Ti Pa,"7 tháng 1, 2022",5,Sh**** toàn hàng chất lượng! Giao hàng nhanh
Ti Pa,"2 tháng 1, 2022",5,Em xl vì đã ko tôn trọng ah hay đánh mắng klkkkkllk🤣🤣🤣🤣
Htler Hmok,"3 tháng 1, 2022",5,"Lỗi vào nhóm lắc xu, số gì đây"
Dương nguyễn,"3 tháng 1, 2022",1,mình có 70.000 xu mà h trừ mất còn 11.000 xu
Dương nguyễn,"3 tháng 1, 2022",1,Tuyệt dời quoá😻
Coi Hoàng,"1 tháng 1, 2022",5,"đẹp , xinh động"
Tri Dien,"3 tháng 1, 2022",1,Sh**** Express giao hàng siêu thảm họa
Van GiauTV_Nrsv1,"3 tháng 1, 2022",1,Ko đăng nhập đc hàng giao lâu
Van GiauTV_Nrsv1,"31 tháng 12, 2021",2,Ko chọn đc đơn vị vận chuyển
Tyna Phạm,"31 tháng 12, 2021",3,Rất ưng ý khi sử dụng Sh****
Tyna Phạm,"6 tháng 1, 2022",1,Càng ngày giao hàng rất lâu luôn
Hưng Gia,"2 tháng 1, 2022",5,Rất tiện lợi giao hàng nhanh chóng
Kim Anh Kiều,"2 tháng 1, 2022",5,Quảng cáo trên app khác lắm vcl
Kim Anh Kiều,"2 tháng 1, 2022",3,Mua đồ còn hơn thua tài xỉu
TUẤN NGUYỄN,"2 tháng 1, 2022",1,Rất tốt nghèo cx mua đồ đc
TUẤN NGUYỄN,"4 tháng 1, 2022",5,Tốt nha mn nên tải về mua
33 Danh Thị Kim Thùy,"4 tháng 1, 2022",5,Sàn TMDT mà mình tin dùng nhất
33 Danh Thị Kim Thùy,"3 tháng 1, 2022",1,Mua hàng cx ổn nên tải nha
Gia Khoa Phạm,"5 tháng 1, 2022",3,Dạo này ứng dụng đơ thậm tệ
vizutbuan buan,"4 tháng 1, 2022",5,Cho vouchers mà ko áp dụng đc
Đức Anh Trần,"1 tháng 1, 2022",5,QUÁ TỆ TOÀN NGÂM HÀNG CỦA KHÁCH
Đạt Lê Văn,"2 tháng 1, 2022",3,Giao diện thân thiện dễ thao tác
Đạt Lê Văn,"31 tháng 12, 2021",5,Lỗi nhập sđt đặt hàng ko đc
Mỹ Vy,"4 tháng 1, 2022",1,Giao rất nhanh đã vậy uy tín
Vii,"4 tháng 1, 2022",5,Ứng dụng tuyệt với nên tải nha
Vii,"1 tháng 1, 2022",5,Ứng dụng tiện lợi và thú vị
Thu Hiền Nguyễn,"3 tháng 1, 2022",5,Nó rất có ích đôi với tôi
06. Văn Huy 8/8,"3 tháng 1, 2022",5,Giao hàng nhanh Và áo rất đẹp
06. Văn Huy 8/8,"4 tháng 1, 2022",4,Dạo này phí ship quá mắc haizz
Linh Lê,"1 tháng 1, 2022",1,Tiện lợi cho người sử dụng djdkkdkdkdkdkkdkdkdkkdkdkdkkdkdkdkkdkdkdkdkdkdkkdkdkdkdkkdkdkdk
Thị Hương Lương,"1 tháng 1, 2022",3,Nhiều món cảm thấy không hài lòng
Thị Hương Lương,"31 tháng 12, 2021",1,Mk mua đồ cũng tốt lắm nha
Đỗ Gia Thịnh TC điện lạnh k21,"31 tháng 12, 2021",5,Quảng cáo lắm gây cực ức chế
Đỗ Gia Thịnh TC điện lạnh k21,"2 tháng 1, 2022",2,Lâu lâu săn sale chết mê nuônnn
Kiều Mỹ,"6 tháng 1, 2022",5,Mồi đông lạnh câu rô rất nhạy
Thuận Nguyễn thị,"6 tháng 1, 2022",5,Giao hàng chậm và ko đúng mẫu
Hậu Nguyễn Thị,"5 tháng 1, 2022",5,Khó trong việc xác minh tài khoản
Lê QUỲNH ANH,"5 tháng 1, 2022",5,Sh**** thì khỏi đánh giá cũn biết
Tien Nguyen thi,"5 tháng 1, 2022",5,S mk đặt hàng kh đc vậy
Tien Nguyen thi,"6 tháng 1, 2022",3,App làm ăn không tốt hàng giả
Lê Thị Yến Ngọc 10-12-03,"5 tháng 1, 2022",5,éo lm gì cũng bị khóa nick
Hoan Hoan,"6 tháng 1, 2022",3,Nó mang lại rất nhiều hiệu quả
Hoan Hoan,"7 tháng 1, 2022",5,Liên hệ hoàn trả hàng không đươc
Hoa Dinh,"8 tháng 1, 2022",1,Nhiều mã freeship nên thích lắm ạ
Thùy• •,"8 tháng 1, 2022",5,Gì cũng có mua hết ở Sh****!
Hạ Minh,"7 tháng 1, 2022",5,Thíc thì thíc thật nma tốn tiền lắm ạ:)
Đức Hà văn,"7 tháng 1, 2022",3,Tôi rất thích soppe nó tiện thật 😊
Đức Hà văn,"8 tháng 1, 2022",3,Tào lao mía lao mía lao Hic sa nô sa mê lao mê lào mê lào
Thư Nguyễn,"7 tháng 1, 2022",5,"Shoppe rất tuyệt ❤️ dù có sài app nào r thì cũng phải xoá đi mà tải shoppe . Shoppe ơi mình có 1 vấn đề với bên vận chuyển là đã làm shipper lại còn tiếc tiền gọi cho khách 🙃 có những đơn vị như nijavan thì gọi cho khách 5,6 cuộc liền rất là tốt và ngược lại bên best experss gọi đúng 1 cuộc"
vi vi cuong,"9 tháng 1, 2022",1,App như ct đặt r lại hủy ht.
Phương Nguyễn lệ mai,"9 tháng 1, 2022",1,"Tiện dụng , rẻ"
Phương Nguyễn lệ mai,"7 tháng 1, 2022",1,mỗi lần dô là bị lag đứng màn hình :)
Nghĩa Hữu,"8 tháng 1, 2022",5,Bảo ko mất tiền ship hóa ra mất
Kim Thien,"8 tháng 1, 2022",1,Ứng dụng rất hay và rất tiện lợi
Kim Thien,"9 tháng 1, 2022",5,Rất tốt phải nói là cực kì tốt
Vân Lê Thị,"9 tháng 1, 2022",5,Đơn đầu tiên ko dùng mã voucher dành cho người mới đc mà dùng mã khác vẫn đc??????
Vân Lê Thị,"6 tháng 1, 2022",5,Ứng dụng tiện lợi hữu ích.đáng trải nghiệm
park mochi,"8 tháng 1, 2022",5,Tết vui vẻ Chúc Mừng Năm mới vui vẻ
Winnie Lê,"9 tháng 1, 2022",5,Like. Mình rất hài lòng với Sh****
Winnie Lê,"3 tháng 1, 2022",5,"Ứng dụng mua bán tốt, lợi cho người mua, tốt cho người bán"
Nguyễn Thị Thanh Mai,"2 tháng 1, 2022",1,"Phiên bản 2.81.30 chậm, đơ , lag, hay bị dừng ứng dụng đột ngột...."
Huy Nhat,"2 tháng 1, 2022",5,Ứng dụng tốt .giá ok
Huy Nhat,"3 tháng 1, 2022",1,Sh****: mua hàng yiên lợi và an toàn
Thanh Nhìu,"5 tháng 1, 2022",1,Mua hàng đúng sản phẩm.giá cả hợp lý
